ruler_cm,x_pic_pixels,H_Lens_distance,position
19,1405,20,left
18,1460,20,left
17,1518,20,left
16,1572,20,left
15,1632,20,left
14,1688,20,left
13,1745,20,left
12,1799,20,left
11,1850,20,left
10,1897,20,left
9,1945,20,left
8,1991,20,left
7,2031,20,left
6,2071,20,left
5,2108,20,left
4,2142,20,left
3,2172,20,left
2,2203,20,left
1,2232,20,left
19,4506,20,right
18,4452,20,right
17,4396,20,right
16,4342,20,right
15,4285,20,right
14,4227,20,right
13,4177,20,right
12,4120,20,right
11,4069,20,right
10,4021,20,right
9,3985,20,right
8,3939,20,right
7,3897,20,right
6,3858,20,right
5,3821,20,right
4,3787,20,right
3,3755,20,right
2,3726,20,right
1,3700,20,right
-15,2263,20,perpendicular
-14,2295,20,perpendicular
-13,2333,20,perpendicular
-12,2370,20,perpendicular
-11,2410,20,perpendicular
-10,2447,20,perpendicular
-9,2491,20,perpendicular
-8,2534,20,perpendicular
-7,2581,20,perpendicular
-6,2630,20,perpendicular
-5,2679,20,perpendicular
-4,2737,20,perpendicular
-3,2797,20,perpendicular
-2,2849,20,perpendicular
-1,2906,20,perpendicular
0,2963,20,perpendicular
1,3020,20,perpendicular
2,3074,20,perpendicular
3,3128,20,perpendicular
4,3179,20,perpendicular
5,3231,20,perpendicular
6,3281,20,perpendicular
7,3330,20,perpendicular
8,3379,20,perpendicular
9,3426,20,perpendicular
10,2472,20,perpendicular
11,3514,20,perpendicular
12,3557,20,perpendicular
13,3589,20,perpendicular
14,3623,20,perpendicular
15,3668,20,perpendicular
25,1394,25,left
24,1448,25,left
23,1504,25,left
22,1560,25,left
21,1619,25,left
20,1676,25,left
19,1734,25,left
18,1787,25,left
17,1839,25,left
16,1887,25,left
15,1937,25,left
14,1978,25,left
13,2022,25,left
12,2062,25,left
11,2101,25,left
10,2139,25,left
9,2170,25,left
8,2202,25,left
7,2231,25,left
6,2259,25,left
5,2237,25,left
4,2310,25,left
3,2333,25,left
2,2356,25,left
1,2370,25,left
0,2392,25,left
1,3584,25,right
2,3604,25,right
3,3622,25,right
4,3646,25,right
5,3668,25,right
6,3692,25,right
7,3715,25,right
8,3745,25,right
9,3775,25,right
10,3804,25,right
11,3839,25,right
12,3873,25,right
13,3915,25,right
14,3955,25,right
15,4001,25,right
16,4046,25,right
17,4100,25,right
18,4149,25,right
19,4203,25,right
20,4259,25,right
21,4313,25,right
22,4370,25,right
23,4425,25,right
24,4478,25,right
25,4535,25,right
-15,2393,25,perpendicular
-14,2425,25,perpendicular
-13,2458,25,perpendicular
-12,2492,25,perpendicular
-11,2527,25,perpendicular
-10,2562,25,perpendicular
-9,2598,25,perpendicular
-8,2635,25,perpendicular
-7,2672,25,perpendicular
-6,2715,25,perpendicular
-5,2754,25,perpendicular
-4,2797,25,perpendicular
-3,2841,25,perpendicular
-2,2887,25,perpendicular
-1,2930,25,perpendicular
0,2976,25,perpendicular
1,3018,25,perpendicular
2,3063,25,perpendicular
3,3106,25,perpendicular
4,3149,25,perpendicular
5,3188,25,perpendicular
6,3231,25,perpendicular
7,3271,25,perpendicular
8,3310,25,perpendicular
9,3350,25,perpendicular
10,3390,25,perpendicular
11,3428,25,perpendicular
12,3460,25,perpendicular
13,3491,25,perpendicular
14,3521,25,perpendicular
15,3557,25,perpendicular
